Round Number, Network Remaining Energy
-1,25.000000
1,24.995334
2,24.965032
3,24.933966
4,24.905216
5,24.876280
6,24.843481
7,24.818367
8,24.782841
9,24.743724
10,24.718276
11,24.692836
12,24.657707
13,24.651334
14,24.623138
15,24.590433
16,24.584059
17,24.553150
18,24.522112
19,24.490138
20,24.460549
21,24.424554
22,24.389597
23,24.358769
24,24.320426
25,24.283509
26,24.250212
27,24.221477
28,24.215912
29,24.211233
30,24.175905
31,24.140610
32,24.135773
33,24.099449
34,24.094756
35,24.060659
36,24.054639
37,24.026663
38,23.990595
39,23.960107
40,23.929452
41,23.900199
42,23.894664
43,23.868886
44,23.837935
45,23.807718
46,23.802631
47,23.797180
48,23.769853
49,23.744171
50,23.736809
51,23.698794
52,23.674021
53,23.642249
54,23.610165
55,23.584366
56,23.556612
57,23.528156
58,23.498204
59,23.464236
60,23.436884
61,23.404311
62,23.378534
63,23.373121
64,23.339432
65,23.313951
66,23.284011
67,23.278714
68,23.247752
69,23.242845
70,23.215083
71,23.210190
72,23.181781
73,23.148515
74,23.120270
75,23.085364
76,23.077633
77,23.039348
78,23.032788
79,22.998190
80,22.967529
81,22.932983
82,22.907841
83,22.882042
84,22.853385
85,22.826062
86,22.818973
87,22.791841
88,22.765818
89,22.725764
90,22.698293
91,22.674080
92,22.648275
93,22.614981
94,22.588480
95,22.563597
96,22.529309
97,22.525326
98,22.495288
99,22.491092
100,22.486022
101,22.454723
102,22.430458
103,22.401592
104,22.396475
105,22.391394
106,22.386444
107,22.357406
108,22.329303
109,22.300648
110,22.293881
111,22.287147
112,22.262633
113,22.238684
114,22.213008
115,22.188196
116,22.163848
117,22.158791
118,22.132979
119,22.097612
120,22.068390
121,22.037430
122,22.031256
123,22.000942
124,21.975172
125,21.950478
126,21.923381
127,21.888436
128,21.862721
129,21.833178
130,21.804791
131,21.779293
132,21.774346
133,21.746860
134,21.709287
135,21.683152
136,21.649708
137,21.615088
138,21.589258
139,21.582132
140,21.536235
141,21.532253
142,21.494791
143,21.469250
144,21.442591
145,21.417866
146,21.386312
147,21.360084
148,21.355014
149,21.349928
150,21.322736
151,21.318091
152,21.290119
153,21.260917
154,21.232971
155,21.207203
156,21.181378
157,21.140545
158,21.106664
159,21.100388
160,21.073273
161,21.068226
162,21.037076
163,21.011014
164,21.005954
165,20.979802
166,20.951946
167,20.919448
168,20.888356
169,20.883702
170,20.853204
171,20.827270
172,20.822744
173,20.784648
174,20.758381
175,20.733682
176,20.696558
177,20.666121
178,20.631640
179,20.622998
180,20.588766
181,20.558344
182,20.529789
183,20.489479
184,20.461681
185,20.455137
186,20.420469
187,20.390963
188,20.354427
189,20.328734
190,20.297734
191,20.271484
192,20.244165
193,20.206328
194,20.181896
195,20.156106
196,20.123897
197,20.095633
198,20.070366
199,20.065303
200,20.061082
201,20.036474
202,20.010582
203,19.974663
204,19.969430
205,19.941719
206,19.910461
207,19.905413
208,19.871322
209,19.844782
210,19.820774
211,19.795657
212,19.790069
213,19.754065
214,19.718694
215,19.692226
216,19.686707
217,19.651217
218,19.624687
219,19.596392
220,19.588738
221,19.583679
222,19.550960
223,19.546339
224,19.514946
225,19.510008
226,19.505510
227,19.500563
228,19.467750
229,19.428753
230,19.401770
231,19.375191
232,19.349067
233,19.317867
234,19.292004
235,19.263729
236,19.238313
237,19.206247
238,19.168975
239,19.135458
240,19.128332
241,19.097325
242,19.093142
243,19.064672
244,19.035076
245,19.010011
246,18.974932
247,18.969998
248,18.938978
249,18.910920
250,18.903916
251,18.878419
252,18.854527
253,18.829049
254,18.804326
255,18.797323
256,18.771429
257,18.739623
258,18.705796
259,18.676516
260,18.645264
261,18.605732
262,18.563649
263,18.533869
264,18.506105
265,18.470801
266,18.443253
267,18.438350
268,18.407310
269,18.373348
270,18.369153
271,18.330981
272,18.297571
273,18.293413
274,18.262089
275,18.216152
276,18.178607
277,18.173253
278,18.144098
279,18.116599
280,18.090194
281,18.084077
282,18.056145
283,18.025296
284,18.018339
285,17.993194
286,17.962041
287,17.938288
288,17.905497
289,17.875470
290,17.846745
291,17.842244
292,17.811268
293,17.776815
294,17.752711
295,17.728375
296,17.723419
297,17.694736
298,17.663062
299,17.636278
300,17.630101
301,17.599672
302,17.593461
303,17.566635
304,17.542222
305,17.511150
306,17.482384
307,17.450065
308,17.416852
309,17.386581
310,17.379492
311,17.348705
312,17.320836
313,17.292575
314,17.287672
315,17.255957
316,17.216393
317,17.187467
318,17.153300
319,17.122500
320,17.089357
321,17.052186
322,17.027202
323,17.022241
324,17.014839
325,16.982815
326,16.955425
327,16.911234
328,16.877535
329,16.848810
330,16.817985
331,16.792632
332,16.787734
333,16.744371
334,16.708780
335,16.703213
336,16.671168
337,16.639096
338,16.609089
339,16.570377
340,16.532026
341,16.525982
342,16.518898
343,16.485831
344,16.454903
345,16.425064
346,16.384239
347,16.377283
348,16.347304
349,16.306034
350,16.276586
351,16.240368
352,16.216121
353,16.173293
354,16.144488
355,16.112369
356,16.106576
357,16.077870
358,16.047954
359,16.023710
360,16.018825
361,15.981658
362,15.955052
363,15.919891
364,15.882362
365,15.853591
366,15.847835
367,15.842810
368,15.811783
369,15.780155
370,15.774602
371,15.750566
372,15.720033
373,15.681777
374,15.674263
375,15.641090
376,15.615312
377,15.610697
378,15.584643
379,15.580153
380,15.573837
381,15.543903
382,15.513864
383,15.484193
384,15.456807
385,15.428304
386,15.399323
387,15.366681
388,15.335665
389,15.330887
390,15.303652
391,15.272316
392,15.267859
393,15.263639
394,15.233757
395,15.205379
396,15.177523
397,15.149591
398,15.145081
399,15.112687
400,15.107910
401,15.074010
402,15.045603
403,15.016003
404,15.011225
405,14.983350
406,14.948356
407,14.912627
408,14.868554
409,14.862276
410,14.823802
411,14.784429
412,14.745696
413,14.710582
414,14.682453
415,14.653531
416,14.622674
417,14.596234
418,14.561127
419,14.536111
420,14.502586
421,14.471447
422,14.466537
423,14.442143
424,14.434742
425,14.390590
426,14.364291
427,14.337364
428,14.306429
429,14.279813
430,14.252426
431,14.247921
432,14.215252
433,14.178726
434,14.146209
435,14.119827
436,14.115343
437,14.109978
438,14.081627
439,14.076752
440,14.049315
441,14.023147
442,13.988809
443,13.980600
444,13.976120
445,13.938286
446,13.912946
447,13.882942
448,13.852894
449,13.848246
450,13.844014
451,13.815739
452,13.784652
453,13.754297
454,13.726013
455,13.690757
456,13.653350
457,13.625823
458,13.588001
459,13.584256
460,13.554030
461,13.511734
462,13.472882
463,13.436956
464,13.431650
465,13.424035
466,13.388691
467,13.346782
468,13.317176
469,13.285251
470,13.254401
471,13.249474
472,13.223487
473,13.198871
474,13.174416
475,13.130449
476,13.122253
477,13.083844
478,13.050009
479,13.015135
480,13.009846
481,12.981115
482,12.955945
483,12.925922
484,12.918984
485,12.894983
486,12.870291
487,12.845395
488,12.821361
489,12.790525
490,12.758544
491,12.734063
492,12.726979
493,12.701856
494,12.660597
495,12.630232
496,12.601232
497,12.572733
498,12.567776
499,12.538335
500,12.503744
501,12.478132
502,12.448432
503,12.407804
504,12.403193
505,12.377021
506,12.372516
507,12.339747
508,12.307782
509,12.277509
510,12.248943
511,12.241530
512,12.206358
513,12.201144
514,12.173879
515,12.148165
516,12.123553
517,12.092167
518,12.067079
519,12.040618
520,12.013638
521,11.985193
522,11.954905
523,11.922963
524,11.917813
525,11.888366
526,11.859409
527,11.852043
528,11.821847
529,11.792854
530,11.756623
531,11.720421
532,11.679484
533,11.672910
534,11.643829
535,11.598889
536,11.567512
537,11.537968
538,11.507037
539,11.474520
540,11.446502
541,11.415610
542,11.381704
543,11.376397
544,11.346006
545,11.317194
546,11.310910
547,11.273603
548,11.268984
549,11.241355
550,11.215430
551,11.184185
552,11.153097
553,11.122413
554,11.092996
555,11.085453
556,11.050732
557,11.018595
558,10.987327
559,10.958497
560,10.950222
561,10.916399
562,10.887169
563,10.858754
564,10.832311
565,10.825208
566,10.790183
567,10.765926
568,10.740619
569,10.709697
570,10.683860
571,10.655718
572,10.627392
573,10.591007
574,10.561722
575,10.535855
576,10.507397
577,10.472783
578,10.465721
579,10.439223
580,10.410426
581,10.382558
582,10.375859
583,10.334030
584,10.295854
585,10.256611
586,10.226410
587,10.200782
588,10.196036
589,10.170658
590,10.145762
591,10.120614
592,10.096154
593,10.069335
594,10.039579
595,10.013294
596,9.986562
597,9.946368
598,9.939703
599,9.908212
600,9.878848
601,9.849904
602,9.845116
603,9.810669
604,9.786478
605,9.758531
606,9.726175
607,9.701274
608,9.673375
609,9.644192
610,9.635983
611,9.607438
612,9.581867
613,9.547255
614,9.508383
615,9.476355
616,9.449053
617,9.444433
618,9.416405
619,9.383607
620,9.350394
621,9.342780
622,9.306264
623,9.265420
624,9.240052
625,9.207986
626,9.178578
627,9.150300
628,9.109050
629,9.101565
630,9.062718
631,9.033367
632,8.994212
633,8.968003
634,8.942190
635,8.937558
636,8.910971
637,8.878912
638,8.853719
639,8.846226
640,8.816815
641,8.788661
642,8.781541
643,8.756159
644,8.731496
645,8.706670
