Round Number, Total Energy Consumption
-1,0.000000
1,0.009617
2,0.040551
3,0.057174
4,0.078957
5,0.099607
6,0.134981
7,0.170355
8,0.205530
9,0.240904
10,0.276278
11,0.311652
12,0.347027
13,0.382201
14,0.417575
15,0.452749
16,0.487923
17,0.523298
18,0.558672
19,0.593846
20,0.629020
21,0.664195
22,0.699569
23,0.734943
24,0.770117
25,0.805292
26,0.840466
27,0.875640
28,0.910814
29,0.945989
30,0.981163
31,1.016337
32,1.051711
33,1.087086
34,1.122460
35,1.157834
36,1.193208
37,1.228382
38,1.263557
39,1.298731
40,1.333905
41,1.369079
42,1.404254
43,1.439428
44,1.474602
45,1.509776
46,1.544951
47,1.580125
48,1.615299
49,1.650473
50,1.685648
51,1.720822
52,1.755996
53,1.791170
54,1.826345
55,1.861519
56,1.896693
57,1.932067
58,1.967241
59,2.002416
60,2.037590
61,2.072764
62,2.107938
63,2.143113
64,2.178487
65,2.213861
66,2.249235
67,2.284610
68,2.319984
69,2.355358
70,2.390532
71,2.425707
72,2.460881
73,2.496055
74,2.531229
75,2.566404
76,2.601578
77,2.636752
78,2.671926
79,2.707100
80,2.742275
81,2.777449
82,2.812623
83,2.847797
84,2.882972
85,2.918146
86,2.953320
87,2.988494
88,3.023669
89,3.058843
90,3.094017
91,3.129191
92,3.164366
93,3.199540
94,3.234714
95,3.269888
96,3.305063
97,3.340237
98,3.375411
99,3.410585
100,3.445760
101,3.480934
102,3.516108
103,3.551282
104,3.586456
105,3.621631
106,3.656805
107,3.691979
108,3.727153
109,3.762328
110,3.797502
111,3.832676
112,3.867850
113,3.903025
114,3.938199
115,3.973373
116,4.008547
117,4.043722
118,4.078896
119,4.114070
120,4.149244
121,4.184419
122,4.219593
123,4.254767
124,4.289941
125,4.325115
126,4.360290
127,4.395664
128,4.431038
129,4.466412
130,4.501787
131,4.537161
132,4.572535
133,4.607909
134,4.643284
135,4.678658
136,4.714032
137,4.749406
138,4.784781
139,4.820155
140,4.855529
141,4.890703
142,4.925878
143,4.961052
144,4.996226
145,5.031400
146,5.066574
147,5.101749
148,5.136923
149,5.172097
150,5.207271
151,5.242446
152,5.277620
153,5.312794
154,5.347968
155,5.383143
156,5.418317
157,5.453691
158,5.488865
159,5.524040
160,5.559214
161,5.594388
162,5.629562
163,5.664737
164,5.699911
165,5.735085
166,5.770259
167,5.805433
168,5.840608
169,5.875782
170,5.910956
171,5.946130
172,5.981305
173,6.016479
174,6.051653
175,6.086827
176,6.122002
177,6.157176
178,6.192350
179,6.227724
180,6.262899
181,6.298073
182,6.333247
183,6.368421
184,6.403596
185,6.438770
186,6.473944
187,6.509118
188,6.544292
189,6.579467
190,6.614641
191,6.649815
192,6.684989
193,6.720164
194,6.755338
195,6.790512
196,6.825686
197,6.860861
198,6.896035
199,6.931209
200,6.966383
201,7.001758
202,7.036932
203,7.072106
204,7.107280
205,7.142455
206,7.177629
207,7.212803
208,7.247977
209,7.283151
210,7.315935
211,7.348718
212,7.381501
213,7.414284
214,7.447067
215,7.479851
216,7.512634
217,7.543071
218,7.571162
219,7.599254
220,7.627345
221,7.655436
222,7.683528
223,7.711819
224,7.739910
225,7.768002
226,7.796093
227,7.824184
228,7.852275
229,7.880367
230,7.908458
231,7.936549
232,7.964641
233,7.992732
234,8.020823
235,8.048915
236,8.077006
237,8.105097
